period,respondent,min temp,respondent-name,fueltype,fuel,Av Gen Value,value-units
2021-02-12,ERCO,25,"Electric Reliability Council of Texas, Inc.",COL,Coal,"255,267",megawatthours
2021-02-12,MISO,-2,"Midcontinent Independent System Operator, Inc.",COL,Coal,"964,492",megawatthours
2021-02-13,MISO,-6,"Midcontinent Independent System Operator, Inc.",COL,Coal,"973,811",megawatthours
2021-02-13,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,"259,878",megawatthours
2021-02-14,MISO,-11,"Midcontinent Independent System Operator, Inc.",COL,Coal,"982,547",megawatthours
2021-02-14,ERCO,18,"Electric Reliability Council of Texas, Inc.",COL,Coal,"262,110",megawatthours
2021-02-15,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,"916,910",megawatthours
2021-02-15,ERCO,10,"Electric Reliability Council of Texas, Inc.",COL,Coal,"202,772",megawatthours
2021-02-16,MISO,-4,"Midcontinent Independent System Operator, Inc.",COL,Coal,"899,033",megawatthours
2021-02-16,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,"174,470",megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,"934,812",megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,"176,857",megawatthours
2022-12-22,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,"173,641",megawatthours
2022-12-22,MISO,-6,"Midcontinent Independent System Operator, Inc.",COL,Coal,"744,637",megawatthours
2022-12-23,ERCO,10,"Electric Reliability Council of Texas, Inc.",COL,Coal,"225,497",megawatthours
2022-12-23,MISO,-4,"Midcontinent Independent System Operator, Inc.",COL,Coal,"830,305",megawatthours
2022-12-24,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,"227,101",megawatthours
2022-12-24,MISO,9,"Midcontinent Independent System Operator, Inc.",COL,Coal,"771,949",megawatthours
2022-12-25,ERCO,23,"Electric Reliability Council of Texas, Inc.",COL,Coal,"192,669",megawatthours
2022-12-25,MISO,7,"Midcontinent Independent System Operator, Inc.",COL,Coal,"743,896",megawatthours
2022-12-26,ERCO,30,"Electric Reliability Council of Texas, Inc.",COL,Coal,"180,745",megawatthours
2022-12-26,MISO,9,"Midcontinent Independent System Operator, Inc.",COL,Coal,"755,929",megawatthours
