period,respondent,temp,respondent-name,fueltype,fuel,Avgen,units
2/12/2021,ERCO,25,"Electric Reliability Council of Texas, Inc.",COL,Coal,"255,267",megawatthours
2/12/2021,MISO,-2,"Midcontinent Independent System Operator, Inc.",COL,Coal,"964,492",megawatthours
2/13/2021,MISO,-6,"Midcontinent Independent System Operator, Inc.",COL,Coal,"973,811",megawatthours
2/13/2021,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,"259,878",megawatthours
2/14/2021,MISO,-11,"Midcontinent Independent System Operator, Inc.",COL,Coal,"982,547",megawatthours
2/14/2021,ERCO,18,"Electric Reliability Council of Texas, Inc.",COL,Coal,"262,110",megawatthours
2/15/2021,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,"916,910",megawatthours
2/15/2021,ERCO,10,"Electric Reliability Council of Texas, Inc.",COL,Coal,"202,772",megawatthours
2/16/2021,MISO,-4,"Midcontinent Independent System Operator, Inc.",COL,Coal,"899,033",megawatthours
2/16/2021,ERCO,7,"Electric Reliability Council of Texas, Inc.",COL,Coal,"174,470",megawatthours
2/17/2021,MISO,-15,"Midcontinent Independent System Operator, Inc.",COL,Coal,"934,812",megawatthours
2/17/2021,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,"176,857",megawatthours
12/22/2022,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,"173,641",megawatthours
12/22/2022,MISO,-6,"Midcontinent Independent System Operator, Inc.",COL,Coal,"744,637",megawatthours
12/23/2022,ERCO,10,"Electric Reliability Council of Texas, Inc.",COL,Coal,"225,497",megawatthours
12/23/2022,MISO,-4,"Midcontinent Independent System Operator, Inc.",COL,Coal,"830,305",megawatthours
12/24/2022,ERCO,21,"Electric Reliability Council of Texas, Inc.",COL,Coal,"227,101",megawatthours
12/24/2022,MISO,9,"Midcontinent Independent System Operator, Inc.",COL,Coal,"771,949",megawatthours
12/25/2022,ERCO,23,"Electric Reliability Council of Texas, Inc.",COL,Coal,"192,669",megawatthours
12/25/2022,MISO,7,"Midcontinent Independent System Operator, Inc.",COL,Coal,"743,896",megawatthours
12/26/2022,ERCO,30,"Electric Reliability Council of Texas, Inc.",COL,Coal,"180,745",megawatthours
12/26/2022,MISO,9,"Midcontinent Independent System Operator, Inc.",COL,Coal,"755,929",megawatthours
